Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	333	1383	2.290625	349.2252729	801.3615219	0.092141956
CL5	333	158	1.248958333	306.2531279	384.0367343	0.095307634
CL5	335	187	0.952708333	268.2875049	267.1032705	0.057810714
CL5	335	761	1.881666667	300.0490059	566.0739612	0.111367424
CL5	336	539	0.772708333	270.7914668	212.1289507	0.080893598
CL5	336	871	1.048958333	261.7990487	273.376551	0.068897184
CL5	337	1097	1.063541667	264.5687163	323.1137596	0.063395671
CL5	337	354	0.47125	318.1622818	157.3289327	0.044980614
CL5	344	178	2.655625	366.0435314	960.6115559	0.13494732
CL5	344	31	2.16875	335.4960868	729.711813	0.160792721
CL5	351	1115	1.322291667	305.2351903	414.8170647	0.073522725
CL5	351	784	0.971458333	315.6530196	307.686942	0.075590249
CL5	353	39	1.450208333	326.2196886	475.0444884	0.102872848
CL5	353	865	1.176458333	321.1317273	363.4213502	0.077513497
CL5	354	1073	1.897291667	349.1586287	666.0588953	0.12438346
CL5	354	798	2.874375	324.2895462	930.0287818	0.169430868
CL5	355	963	2.402083333	309.8496193	756.7802938	0.093919169
CL5	355	98	2.703125	322.1864941	880.4419032	0.09424537
CL5	358	29	1.361666667	327.4443313	447.997223	0.09954981
CL5	358	610	0.839375	347.9861197	299.1109495	0.076813201
CL5	359	585	1.494375	369.3024646	551.5802917	0.105543014
CL5	359	825	0.468125	254.7686444	130.0632404	0.084604716
CL5	361	1124	1.725208333	317.3367537	554.9207361	0.08859439
CL5	361	629	1.711875	303.6223694	513.161069	0.09720482
CL5	363	1245	1.64875	325.0264701	545.2187604	0.117649638
CL5	363	789	1.305	317.244232	414.6642101	0.084140297
CL5	365	287	1.32375	322.2656897	409.6959167	0.064422709
CL5	365	897	1.0225	356.5707884	373.5556911	0.099391265
CL5	366	169	2.250416667	320.7467549	726.2029664	0.150431363
CL5	366	970	3.131666667	352.2876334	1106.859387	0.129575478
CL5	368	255	1.753541667	310.3573009	552.5476736	0.073109143
CL5	368	433	1.716458333	311.7541424	534.3373623	0.125344316
CL5	371	1352	2.882916667	359.9289289	1034.700363	0.113129426
CL5	371	264	1.748541667	362.6423268	632.2106064	0.08494306
CL5	373	1038	2.160833333	290.6217063	620.402297	0.150344697
CL5	373	1145	2.239375	338.5867331	759.131296	0.151738235
CL5	375	165	1.804583333	298.4875098	538.9767541	0.098955549
CL5	375	321	2.296458333	332.8191375	766.1036661	0.110844638
CL5	379	1399	1.648333333	351.0561697	577.9617973	0.154060235
CL5	379	293	1.429166667	253.2357677	360.1732507	0.084643364
CL5	380	1002	0.5825	283.3892402	167.3154697	0.078493342
CL5	380	1163	1.685416667	298.5147905	495.4668859	0.082458731
CL5	381	1043	1.47	325.6615738	482.5684686	0.078175566
CL5	381	904	0.608541667	293.8208645	154.5907503	0.042093997
CL5	383	1353	1.199583333	281.8290406	345.235704	0.062181171
CL5	383	345	1.004583333	290.4430859	294.4261324	0.067936277
CL5	385	137	1.137916667	311.735011	354.0379764	0.089029514
CL5	385	488	1.404583333	314.7829518	443.0159892	0.118313952
CL5	391	1190	1.677083333	338.989676	567.4010135	0.139848242
CL5	391	230	1.767916667	323.944592	573.933297	0.124191908
CL5	392	215	1.224583333	333.6120398	410.6838979	0.102364473
CL5	392	305	1.011875	282.8874793	277.0869543	0.066275005
CL5	393	545	1.895833333	366.0533225	692.433567	0.117541077
CL5	393	606	1.767916667	366.6647159	635.636294	0.113061206
CL5	396	1000	1.550833333	291.7228323	456.8883157	0.077371658
CL5	396	1267	0.855208333	241.5619445	207.8398735	0.078289671
CL5	399	671	0.831458333	295.4864417	246.6602098	0.076009693
CL5	399	925	0.317083333	340.853651	105.2805016	0.071513806
CL5	400	1196	2.630208333	339.3734342	891.0463336	0.140458727
CL5	400	1359	2.627916667	304.5613838	810.1096628	0.146610218
CL5	402	527	2.849583333	384.1029708	1095.619956	0.20617081
CL5	402	991	3.379791667	357.4538682	1212.749358	0.14430732
CL5	404	1291	2.32	386.5395787	919.4058244	0.185885282
CL5	404	930	1.625625	359.426689	587.6145562	0.190471852
CL5	405	1008	1.151875	325.8155787	388.1722388	0.091578559
CL5	405	1279	0.688958333	278.3260465	197.1126577	0.102565153
CL5	407	1022	1.521875	352.1713586	533.5504594	0.108257895
CL5	407	638	0.787291667	325.3114239	258.1556061	0.10545751
CL5	410	1278	0.933958333	263.0410867	243.1372557	0.105394397
CL5	410	737	1.387708333	298.7954698	421.037441	0.10155848
CL5	411	1367	1.886875	299.3099973	571.376612	0.126432582
